"PLANET_IDX","P_NAME","star_code","relative mass (earth)","Density (Earth)","RELATIVE RADIUS","TERRAIN TYPE","TYPE_CLIMATE"
1,"Ra's Ascendance Wu",8235,7.13,0.878,2.01,"valley|ocean","windy|artic|arid|artificial temperate"
2,"Ra's Ascendance Liu",8235,3.01,0.993,1.45,"verdant|lava river","arid|windy|artic|rocky"
3,"Pherkad Jiu",4430,1.91,0.896,1.29,"lakes|ice canyon|reef|grassy hill|plain","windy|artificial temperate|subartic|superheated|humid"
4,"Pherkad Er",4430,6.54,0.798,2.02,"grassland|jungle|ocean|glacier","superheated|hot|humid|frigid|tropical|rocky"
5,"Sadalbari San",9630,1.82,0.985,1.23,"river|field|verdant|cityscape","windy|hot|arid|rocky"
6,"Sadalbari Yi",9630,1.27,1.021,1.08,"tundra|mountain","artificial temperate|artic|rocky"
7,"Radiantara Dionysios",5332,0.58,1.337,0.76,"sea","subartic|artic|frozen|frigid"
8,"Radiantara Asclepian",4403,1.14,0.597,1.24,"lava river|tundra|rocky desert|valley","frozen|tropical|artificial temperate|superheated|temperate|subartic"
9,"Sabik XV",7299,2.67,0.597,1.65,"hill|volcano|sea","superheated|windy|artificial temperate"
10,"Ayeyarwady Chi",2617,1.19,0.766,1.16,"ocean|rocky canyon|vine|volcano|sea|ash","frozen|temperate|tropical|humid|hot"
11,"Ayeyarwady Beta",2617,6.29,1.045,1.82,"mountain|plateau|acid pool","rocky|superheated|artificial temperate|artic"
12,"Franz Centaurios",1719,6.97,0.696,2.16,"ash|sea|rocky island|jungle|cityscape","arid|windy|artificial temperate|tropical|hot|rocky"
13,"Sargas Irisian",305,2.28,0.775,1.43,"jungle|bog|ocean","superheated|windy|temperate|tropical|frozen|humid"
14,"Siriusnova Orphean",3365,1.05,0.712,1.14,"rocky canyon|canyons|island","hot|rocky|humid|arid|artificial temperate"
15,"Siriusnova Olympios",3365,5.04,0.606,2.03,"mountain","artic|rocky"
16,"Ignitionara Morphean",771,1.7,1.028,1.18,"vine|field","temperate"
17,"Ignitionara Selenean",771,6.66,0.775,2.05,"ice cave|field|rocky desert|reef|urban|verdant|cityscape","artificial temperate|temperate|frigid|humid|subartic"
18,"Koit Chi",7732,2.17,0.875,1.35,"reef|river|ice canyon|ice cave|desert|jungle","frozen|artificial temperate|frigid|rocky|tropical|windy"
19,"Koit Tau",7732,1.61,0.986,1.18,"vine|grassy hill|verdant","subartic|temperate"
20,"Bharani VI",1946,1.03,1.451,0.89,"fungus forest|river|vine|cityscape|cave","humid|frigid|hot|rocky"
21,"Geisha's Whisper Hecatean",8176,3.87,0.852,1.66,"desert|cliff|lakes|city","temperate|subartic|superheated"
22,"Geisha's Whisper Oranos",8176,2.01,0.917,1.3,"river|savanna","windy|frigid|tropical|hot|rocky|humid"
23,"Umbral Silence Duodecimal",3966,1.52,1.129,1.1,"canyons|acid pool","tropical|temperate|windy|superheated|frozen|subartic"
24,"Umbral Silence Undecimal",3966,2.51,1.25,1.26,"cliff|lakes","temperate"
25,"Umbral Silence Vigesimal",3966,0.87,1.091,0.93,"tundra|hill|rocky desert","artic|temperate|windy"
26,"Umbral Silence Quintal",3966,5.3,1.077,1.7,"valley|river|lakes|reef","temperate|frozen|frigid"
27,"Irena Quintal",4896,5.64,0.956,1.81,"verdant|reef","frigid|windy"
28,"Irena Prime",4896,6.73,1.028,1.87,"city|lakes|plain|barren|rock arche","rocky|artificial temperate|arid"
29,"Lich Liu",7494,3.16,0.611,1.73,"volcano|hill|ash|tundra|jungle","superheated|windy|hot|frigid|artic"
